===== TRAIN HARD U-NET =====
[train] ep0 step7120 loss=0.0506 l1=0.0249
[train] ep0 step7140 loss=0.0925 l1=0.0679
[train] ep0 step7160 loss=0.0901 l1=0.0522
[train] ep0 step7180 loss=0.0720 l1=0.0406
[train] ep0 step7200 loss=0.1022 l1=0.0527
[train] ep0 step7220 loss=0.1642 l1=0.0886
[train] ep0 step7240 loss=0.0692 l1=0.0331
[train] ep0 step7260 loss=0.0932 l1=0.0491
[train] ep0 step7280 loss=0.1790 l1=0.0800
[train] ep0 step7300 loss=0.0546 l1=0.0330
[train] ep0 step7320 loss=0.0771 l1=0.0476
[train] ep0 step7340 loss=0.0933 l1=0.0464
[train] ep0 step7360 loss=0.0808 l1=0.0444
[train] ep0 step7380 loss=0.1190 l1=0.0589
[train] ep0 step7400 loss=0.1371 l1=0.0777
[train] ep0 step7420 loss=0.0791 l1=0.0552
[train] ep0 step7440 loss=0.0985 l1=0.0522
[train] ep0 step7460 loss=0.1356 l1=0.0743
[train] ep0 step7480 loss=0.0661 l1=0.0317
[val] ep0 loss=0.0983  PSNR in/out=21.65/27.24  MAE in/out=0.0559/0.0284
[val] new best loss=0.0983
[train] ep1 step7500 loss=0.1043 l1=0.0651
[train] ep1 step7520 loss=0.1208 l1=0.0650
[train] ep1 step7540 loss=0.0741 l1=0.0376
[train] ep1 step7560 loss=0.1104 l1=0.0631
[train] ep1 step7580 loss=0.1218 l1=0.0725
[train] ep1 step7600 loss=0.0706 l1=0.0433
[train] ep1 step7620 loss=0.0711 l1=0.0452
[train] ep1 step7640 loss=0.0730 l1=0.0462
[train] ep1 step7660 loss=0.0713 l1=0.0414
[train] ep1 step7680 loss=0.1164 l1=0.0650
[train] ep1 step7700 loss=0.1062 l1=0.0737
[train] ep1 step7720 loss=0.0766 l1=0.0473
[train] ep1 step7740 loss=0.0575 l1=0.0305
[train] ep1 step7760 loss=0.0591 l1=0.0334
[train] ep1 step7780 loss=0.1092 l1=0.0630
[train] ep1 step7800 loss=0.1084 l1=0.0599
[train] ep1 step7820 loss=0.0993 l1=0.0576
[train] ep1 step7840 loss=0.0726 l1=0.0494
[train] ep1 step7860 loss=0.1652 l1=0.0910
[train] ep1 step7880 loss=0.0973 l1=0.0469
[train] ep1 step7900 loss=0.1314 l1=0.0870
[train] ep1 step7920 loss=0.1145 l1=0.0650
[train] ep1 step7940 loss=0.0950 l1=0.0644
[train] ep1 step7960 loss=0.0810 l1=0.0504
[train] ep1 step7980 loss=0.1187 l1=0.0545
[train] ep1 step8000 loss=0.0584 l1=0.0282
[train] ep1 step8020 loss=0.1207 l1=0.0686
